"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Do Review Feedbacks Influence to a Contributor's Time Spent on OSS Projects?","T. Norikane; A. Ihara; K. Matsumoto","NA; NA; NA","2018 IEEE International Conference on Big Data, Cloud Computing, Data Science & Engineering (BCD)","","2018","","","109","113","Open Source Software (OSS) does not work without contributions from the community. In particular, long-term contributors (LTCs) (e.g., committer), defined as contributors who spend at least one year on OSS projects, play a crucial role in a project success because they would have permission to add (commit) code changes to a project's version control system, and to become a mentor for a beginner in OSS projects. However, contributors often leave a project before becoming a LTC because most contributors are volunteers. If contributors are motivated in their work in OSS projects, they might not leave the projects. In this study, we examine the phenomena involved in becoming a LTC in terms of motivation to continue in OSS projects. In particular, our target motivation is to understand what is involved in long-term contribution with other expert contributors. We study classifier to identify a LTC who will contribute patch submissions for more than one year based on collaboration in terms of the code review process. In detail, we analyze what review feedbacks encourage a contributor to continue with OSS project. Using a Qt project dataset, we build a prediction model to identify a LTC. We find that not only contributor's activities, but also a reviewer feedbacks, useful in identifying LTCs.","","978-1-5386-5605-1978-1-5386-5606","10.1109/BCD2018.2018.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530701","Open-Source-Software-Development;Long-term-contributors;Code-review-feedback","Measurement;Collaboration;Predictive models;Tools;Control systems;Databases;Information science","feedback;project management;public domain software;software engineering;software reviews","long-term contributors;project success;Qt project dataset;review feedbacks;OSS projects;open source software;LTCs;projects version control system;patch submissions;code review process","","","12","","","","","","IEEE","IEEE Conferences"
"InCode: Continuous Quality Assessment and Improvement","R. Marinescu; G. Ganea; I. Verebi","NA; NA; NA","2010 14th European Conference on Software Maintenance and Reengineering","","2010","","","274","275","While significant progress has been made over the last ten years in the research field of quality assessment, developers still can't take full advantage of the benefits of these new tools and technique. We believe that there at least two main causes for this lack of adoption: (i) the lack of integration in mainstream IDEs and (ii) the lack of support for a continuous (daily) usage of QA tools. In this context we created INCODE as an Eclipe plug in that would transform quality assessment and code inspections from a standalone activity, into a continuous, agile process, fully integrated in the development life-cycle. But INCODE not only assesses continuously the quality of Java systems, it also assists developers in taking restructuring decisions, and even supports them in triggering refactorings.","1534-5351","978-0-7695-4321-5978-1-61284-369","10.1109/CSMR.2010.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5714452","quality assessment;quality improvement","Measurement;Quality assessment;Inspection;Context;Java;Software systems;Computational modeling","Java;life cycle costing;software prototyping;software quality;software tools","InCode;continuous quality assessment;continuous quality improvement;IDE;QA tool;Eclipe plugin;code inspection;agile process;development life-cycle;Java system","","17","5","","","","","","IEEE","IEEE Conferences"
"Fix-it: An extensible code auto-fix component in Review Bot","V. Balachandran","VMware, Bangalore, India","2013 IEEE 13th International Working Conference on Source Code Analysis and Manipulation (SCAM)","","2013","","","167","172","Coding standard violations, defect patterns and non-conformance to best practices are abundant in checked-in source code. This often leads to unmaintainable code and potential bugs in later stages of software life cycle. It is important to detect and correct these issues early in the development cycle, when it is less expensive to fix. Even though static analysis techniques such as tool-assisted code review are effective in addressing this problem, there is significant amount of human effort involved in identifying the source code issues and fixing it. Review Bot is a tool designed to reduce the human effort and improve the quality in code reviews by generating automatic reviews using static analysis output. In this paper, we propose an extension to Review Bot- addition of a component called Fix-it for the auto-correction of various source code issues using Abstract Syntax Tree (AST) transformations. Fix-it uses built-in fixes to automatically fix various issues reported by the auto-reviewer component in Review Bot, thereby reducing the human effort to greater extent. Fix-it is designed to be highly extensible-users can add support for the detection of new defect patterns using XPath or XQuery and provide fixes for it based on AST transformations written in a high-level programming language. It allows the user to treat the AST as a DOM tree and run XQuery UPDATE expressions to perform AST transformations as part of a fix. Fix-it also includes a designer application which enables Review Bot administrators to design new defect patterns and fixes. The developer feedback on a stand-alone prototype indicates the possibility of significant human effort reduction in code reviews using Fix-it.","","978-1-4673-5739","10.1109/SCAM.2013.6648198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6648198","","Standards;Encoding;Java;Conferences;XML;Abstracts","high level languages;human factors;program debugging;program diagnostics;software quality;software reviews;software tools;source coding;tree data structures","extensible code auto-fix component;coding standard violations;defect patterns;checked-in source code;unmaintainable code;software life cycle;static analysis techniques;tool-assisted code review;source code issues;code review quality;automatic review generation;static analysis output;abstract syntax tree transformations;AST transformations;Fix-it;auto-reviewer component;human effort;XPath;high-level programming language;DOM tree;XQuery UPDATE expressions;Review Bot administrators","","5","19","","","","","","IEEE","IEEE Conferences"
"An integrated approach to instruction in debugging computer programs","R. Chmiel; M. C. Loui","Dept. of Electr. & Comput. Eng., Illinois Univ., Urbana, IL, USA; Dept. of Electr. & Comput. Eng., Illinois Univ., Urbana, IL, USA","33rd Annual Frontiers in Education, 2003. FIE 2003.","","2003","3","","S4C","1","The purpose of this study is to demonstrate that formal training in debugging helps students develop skills in diagnosing and removing defects from computer programs. To accomplish this goal in an assembly language course, multiple activities were designed in order to enhance students' debugging skills. Students completed debugging exercises before developing the code for each programming assignment. Each set of exercises focused on the major topics covered in the assignment. Students also kept debugging logs as they worked on the assignments. In these logs, students recorded both the source of each defect and how the defect was corrected. Students reflected on their approach to each programming assignment and documented their code development and debugging experiences in a reflective memo. Last, for one programming assignment, students worked in teams of four. They identified defects collaboratively using code inspection. Students' responses to these activities have been positive and constructive.","0190-5848","0-7803-7961","10.1109/FIE.2003.1266016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1266016","","Debugging;Computer aided instruction;Programming profession;Inspection;Collaborative work;Assembly;Curriculum development;Testing;Statistical analysis;Frequency","program debugging;computer science education;computer based training;educational courses;assembly language","debugging computer program instruction;debugging training;assembly language course;code review;curriculum development","","","12","","","","","","IEEE","IEEE Conferences"
"Java quality assurance by detecting code smells","E. van Emden; L. Moonen","CWI, Amsterdam, Netherlands; CWI, Amsterdam, Netherlands","Ninth Working Conference on Reverse Engineering, 2002. Proceedings.","","2002","","","97","106","Software inspection is a known technique for improving software quality. It involves carefully examining the code, the design, and the documentation of software and checking these for aspects that are known to be potentially problematic based on past experience. Code smells are a metaphor to describe patterns that are generally associated with bad design and bad programming practices. Originally, code smells are used to find the places in software that could benefit from refactoring. In this paper we investigate how the quality of code can be automatically assessed by checking for the presence of code smells and how this approach can contribute to automatic code inspection. We present an approach for the automatic detection and visualization of code smells and discuss how this approach can be used in the design of a software inspection tool. We illustrate the feasibility of our approach with the development of jCOSMO, a prototype code smell browser that detects and visualizes code smells in JAVA source code. Finally, we show how this tool was applied in a case study.","1095-1350","0-7695-1799","10.1109/WCRE.2002.1173068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173068","","Java;Quality assurance;Inspection;Software quality;Visualization;Documentation;Software design;Software tools;Software prototyping;Prototypes","Java;software quality;program visualisation","software quality;code smells;Java;refactoring;software inspection;quality assurance;automatic code inspection","","107","25","","","","","","IEEE","IEEE Conferences"
"Enhancing annotation visibility for software inspection","M. V. Stein; M. P. E. Heimdahl; J. T. Riedl","Metropolitan State (MN) Univ., USA; NA; NA","14th IEEE International Conference on Automated Software Engineering","","1999","","","243","246","Annotation of software artifacts is common in software development, and vital for software inspection. People viewing annotated artifacts encounter delocalization: they must understand various parts of an artifact (and their annotations) to understand the part they are viewing. We taxonomize delocalization within software systems into lateral delocalization (different items of the artifact within the same development phase), longitudinal delocalization (related items in different phases), and historical delocalization (successive versions of the same item). We report on a pilot study of code inspection with AnnoSpec, an inspection tool supporting visibility of laterally-delocalized annotations. Our results suggest that addressing delocalization may help people perform inspections more effectively.","","0-7695-0415","10.1109/ASE.1999.802288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=802288","","Inspection;Software tools;Filters;Software systems;Filtering;Software engineering;Programming;Software testing;Roads;Terminology","program diagnostics;inspection;software tools","annotation visibility;software inspection;software artifacts;annotated artifacts;delocalization;software systems;lateral delocalization;development phase;longitudinal delocalization;historical delocalization;code inspection;AnnoSpec;inspection tool;laterally-delocalized annotations","","","12","","","","","","IEEE","IEEE Conferences"
"Trust, but Verify","M. Lesk","Rutgers University","IEEE Security & Privacy","","2014","12","6","94","96","Do you believe the software packages you buy and install are secure? Today that belief is largely a matter of faith. Could a third-party verification process, whether similar to Underwriters Laboratories or the US Food and Drug Administration, give us greater assurance of secure software?","1540-7993;1558-4046","","10.1109/MSP.2014.130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7006407","software verification;security;code inspection","Computer security;Software design;Verification;Encoding;Software performance;Software reliability","program testing;program verification;security of data;software packages;trusted computing","software packages;third-party verification process;software security;software testing","","","8","","","","","","IEEE","IEEE Journals & Magazines"
"Computer-mediated group support, anonymity, and the software inspection process: an empirical investigation","P. Vitharana; K. Ramamurthy","Sch. of Manage., Syracuse Univ., NY, USA; NA","IEEE Transactions on Software Engineering","","2003","29","2","167","180","In software inspection, a key principle endorsed by Fagan (1986) is openness. However, scholars have recently questioned the efficacy of openness. For example, some argue that ego-involvement and personality conflicts that become more transparent due to openness might impede inspection. Still others point out that familiarity and (preexisting) relationships among inspection team members negatively affect the comprehensiveness in detection of defects. This brings up concerns if the openness as originally envisioned by Fagan may in fact lead to suboptimal outcomes. As the trend towards computer-based inspection continues, we believe that anonymity could play a positive role in overcoming some of the drawbacks noted in team-based inspection. Drawing upon the literature on software inspection and group support systems, this research proposes possible influences of group member anonymity on the outcome of computer-mediated software inspection and empirically examines the validity of the posited relationships in a set of controlled laboratory experiments. Two different inspection tasks with varying levels of software code complexity are employed. While both the control groups (i.e., teams without anonymity) and treatment groups (i.e., teams with support for anonymity) consume more or less the same time in performing the inspection tasks, the treatment groups are more effective in identifying the seeded errors in the more complex task. Treatment groups also express a more positive attitude toward both code inspection tasks. The findings of the study suggest a number of directions for future research.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2003.1178054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178054","","Collaborative software;Inspection;Software quality;Programming;Control systems;Impedance;Laboratories;Error correction;Software systems;Software tools","groupware;software quality;software development management;program testing;software process improvement;human factors","computer-mediated group support;anonymity;software inspection process;ego-involvement;personality conflicts;inspection team members;suboptimal outcomes;computer-based inspection;team-based inspection;software inspection;group support systems;group member anonymity;software code complexity;seeded errors;software quality assurance","","17","38","","","","","","IEEE","IEEE Journals & Magazines"
"Java code reviewer for verifying object-oriented design in class diagrams","K. Jinto; Y. Limpiyakorn","Department of Computer Engineering Chulalongkorn University Bangkok 10330, Thailand; Department of Computer Engineering Chulalongkorn University Bangkok 10330, Thailand","2010 2nd IEEE International Conference on Information Management and Engineering","","2010","","","471","475","Verification and Validation (V&amp;V) processes play an important role in quality control. The earlier defects are detected, the less rework incurs. According to the findings from literature, most of the defects occurred during the design and coding phases. Automatic detection of these defects would alleviate the problem. This research therefore invented an automatic code reviewer to examine Java source files against the object-oriented design described in UML class diagrams. Prior to the review process, the class diagrams are converted into XML format so that the information of classes and relations could be extracted and used to generate the review checklists. The code reviewer will then follow the checklist items to verify whether all defined classes exist in the code, the class structures with encapsulated methods and parameters are correctly implemented, all relations of associated classes are valid. Finally, the summary report will then be generated to notify the results.","","978-1-4244-5263-7978-1-4244-5265","10.1109/ICIME.2010.5477762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5477762","code review;verification;class diagram","Java;Quality control;Unified modeling language;Software quality;Inspection;Logic programming;Programming profession;Design engineering;XML;Data mining","formal verification;Java;object-oriented programming;Unified Modeling Language;XML","Java code reviewer;object-oriented design;verification process;validation process;quality control;automatic detection;Java source files;UML class diagrams;XML format","","1","9","","","","","","IEEE","IEEE Conferences"
"An approach for collaborative code reviews using multi-touch technology","S. Müller; M. Würsch; T. Fritz; H. C. Gall","s.e.a.l. - software architecture and evolution lab, Department of Informatics, University of Zurich, Switzerland; s.e.a.l. - software architecture and evolution lab, Department of Informatics, University of Zurich, Switzerland; s.e.a.l. - software architecture and evolution lab, Department of Informatics, University of Zurich, Switzerland; s.e.a.l. - software architecture and evolution lab, Department of Informatics, University of Zurich, Switzerland","2012 5th International Workshop on Co-operative and Human Aspects of Software Engineering (CHASE)","","2012","","","93","99","Code reviews are an effective mechanism to improve software quality, but often fall short in the development of software. To improve the desirability and ease of code reviews, we introduce an approach that explores how multi-touch interfaces can support code reviews and can make them more collaborative. Our approach provides users with features to collaboratively find and investigate code smells, annotate source code and generate review reports using gesture recognition and a Microsoft Surface Table. In a preliminary evaluation, subjects generally liked the prototypical implementation of our approach for performing code review tasks.","","978-1-4673-1824-2978-1-4673-1823","10.1109/CHASE.2012.6223031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6223031","Multi-touch;software metrics;code review;collaboration;code smell;gesture","Software metrics;Collaboration;Prototypes;Visualization;Data visualization;Surgery;Gesture recognition","gesture recognition;groupware;haptic interfaces;software quality;software reviews","collaborative code reviews;multitouch technology;software quality;software development;multitouch interfaces;code smells;gesture recognition;Microsoft Surface Table;prototypical implementation","","5","16","","","","","","IEEE","IEEE Conferences"
"Test software evaluation using data logging [missile testing]","W. Chou; J. L. Anderson","Corona Div., NSWC, Corona, CA, USA; Corona Div., NSWC, Corona, CA, USA","Proceedings AUTOTESTCON 2003. IEEE Systems Readiness Technology Conference.","","2003","","","652","657","As the missile technology and capability become increasingly sophisticated, the test system software has become more complex. Because of this, the degree of difficulty has also increased in the area of verification and validation of the test software. This paper proposes that a test software evaluation tool (TSET) be developed to use data logged during the execution of test programs, minimizing the traditional manual code review, to perform software evaluation.","1080-7725","0-7803-7837","10.1109/AUTEST.2003.1243646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1243646","","Software testing;System testing;Missiles;Instruments;Corona;Software performance;Performance evaluation;Automatic testing;Firewire;System software","missiles;military computing;aerospace testing;automatic test software;program verification","automatic test systems;missile testing;test software evaluation tool;TSET;logged test program execution data;manual code review;data logging;missile technology;test system software;software verification;software validation","","","4","","","","","","IEEE","IEEE Conferences"
"ViDI: The Visual Design Inspector","Y. Tymchuk; A. Mocci; M. Lanza","NA; NA; NA","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","","2015","2","","653","656","We present ViDI (Visual Design Inspector), a novel code review tool which focuses on quality concerns and design inspection as its cornerstones. It leverages visualization techniques to represent the reviewed software and augments the visualization with the results of quality analysis tools. To effectively understand the contribution of a reviewer in terms of the impact of her changes on the overall system quality, ViDI supports the recording and further inspection of reviewing sessions. ViDI is an advanced prototype which we will soon release to the Pharo open-source community.","0270-5257;1558-1225","978-1-4799-1934","10.1109/ICSE.2015.215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203035","Lugano","Visualization;Inspection;Quality assessment;Software systems;Software engineering;Birds","data visualisation;software quality;software reviews;software tools","ViDI;visual design inspector;code review tool;visualization technique;system quality","","1","11","","","","","","IEEE","IEEE Conferences"
"Meeting customer needs using participatory techniques","C. Wood","Dept. of Defence, DSTO, Canberra, ACT, Australia","Proceedings 1998 Australasian Computer Human Interaction Conference. OzCHI'98 (Cat. No.98EX234)","","1998","","","336","","I have used participatory design techniques on a number of projects, including the design of a GUI for a group meeting support system and the design of a multimodal information management tool. This technique has been used to scope functionality, produce a project plan, design the system, create and usability-test the user documentation, and facilitate best-practice principles in code review and software engineering. Using participatory methods has also facilitated team development and cohesion in a team that is geographically dispersed and consists of members from diverse backgrounds.","","0-8186-9206","10.1109/OZCHI.1998.732236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=732236","","Usability;Graphical user interfaces;System testing;Electrical capacitance tomography;Design methodology;Object oriented methods;Iterative methods;Collaboration;Materials testing;System analysis and design","user centred design;graphical user interfaces;group decision support systems;planning;project management;testing;user manuals;human factors;software engineering","customer needs;participatory design techniques;GUI design;group meeting support system;multimodal information management tool;functionality scoping;project plan;system design;usability testing;user documentation;best-practice principles;code review;software engineering;team development;team cohesion;geographically dispersed team;diverse team member backgrounds","","","1","","","","","","IEEE","IEEE Conferences"
"An activity based learning: C programming","V. S. Handur; P. D. Kalwad; N. Yaligar; V. G. Garagad; M. K. Pawar","Dept. of Computer Science and Engineering, B.V. Bhoomaraddi College of Engineering and Technology, Hubballi, India; Dept. of Computer Science and Engineering, B.V. Bhoomaraddi College of Engineering and Technology, Hubballi, India; Dept. of Computer Science and Engineering, B.V. Bhoomaraddi College of Engineering and Technology, Hubballi, India; Dept. of Computer Science and Engineering, B.V. Bhoomaraddi College of Engineering and Technology, Hubballi, India; Dept. of Computer Science and Engineering, B.V. Bhoomaraddi College of Engineering and Technology, Hubballi, India","2015 IEEE 3rd International Conference on MOOCs, Innovation and Technology in Education (MITE)","","2015","","","310","314","Computers are the leading technology of the 21st century. Programming, the development of software is thus a fundamental activity in which many people are engaged worldwide. Therefore programming courses are included as a part of the curriculum. In these courses, students are primarily introduced to language features. Traditionally, the students practice by applying the acquired knowledge to solve some logically straightforward problems giving less scope for the programming skills. This paper focuses on application of coding standards, coding techniques, debugging, code review, refactoring, code optimization, test driven programming and pair programming based learning to master not only programming language features, but also an integrated approach to gain problem solving and programming skills. The subject is introduced as a first year course where the students are without any or with smaller amount of background or experience in computer programming. Taking this into consideration, activities like programming were designed. These activities enhanced the learning ability, problem solving skills programming skills and debugging skills.","","978-1-4673-6747-9978-1-4673-6746","10.1109/MITE.2015.7375336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7375336","problem solving;programming skills;code optimization;Test driven programming;debugging;coding standards","Programming profession;Education;Encoding;Standards;Problem-solving;Debugging","C language;computer science education;educational courses;program debugging;software maintenance","activity-based learning;C programming course;software development;programming skills;coding standards;coding techniques;code review;refactoring;code optimization;test driven programming;pair programming based learning;programming language features;integrated approach;problem solving skills;computer programming;learning ability enhancement;debugging skills","","1","6","","","","","","IEEE","IEEE Conferences"
"Mutation-based exploration of a method for verifying concurrent Java components","B. Long; R. Duke; D. Goldson; P. Strooper; L. Wildman","Sch. of Inf. Technol. & Electr. Eng., Queensland Univ., Brisbane, Qld., Australia; Sch. of Inf. Technol. & Electr. Eng., Queensland Univ., Brisbane, Qld., Australia; Sch. of Inf. Technol. & Electr. Eng., Queensland Univ., Brisbane, Qld., Australia; Sch. of Inf. Technol. & Electr. Eng., Queensland Univ., Brisbane, Qld., Australia; Sch. of Inf. Technol. & Electr. Eng., Queensland Univ., Brisbane, Qld., Australia","18th International Parallel and Distributed Processing Symposium, 2004. Proceedings.","","2004","","","265","","Summary form only given. The Java programming language supports concurrency. Concurrent programs are harder to verify than their sequential counterparts due to their inherent nondeterminism and a number of specific concurrency problems such as interference and deadlock. In previous work, we proposed a method for verifying concurrent Java components based on a mix of code inspection, static analysis tools, and the ConAn testing tool. The method was derived from an analysis of concurrency failures in Java components, but was not applied in practice. In this paper, we explore the method by applying it to an implementation of the well-known readers-writers problem and a number of mutants of that implementation. We only apply it to a single, well-known example, and so we do not attempt to draw any general conclusions about the applicability or effectiveness of the method. However, the exploration does point out several strengths and weaknesses in the method, which enable us to fine-tune the method before we carry out a more formal evaluation on other, more realistic components.","","0-7695-2132","10.1109/IPDPS.2004.1303338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1303338","","Java;Concurrent computing;Yarn;Australia;Interference;System recovery;Inspection;Testing;Failure analysis;Application software","Java;parallel programming;object-oriented programming;formal verification","mutation-based exploration;Java components;Java programming language;concurrent programs;code inspection;static analysis tools;readers-writers problem;formal evaluation","","7","30","","","","","","IEEE","IEEE Conferences"
"Code Comprehension Activities in Undergraduate Software Engineering Course - A Case Study","S. K. Sripada; Y. R. Reddy","NA; NA","2015 24th Australasian Software Engineering Conference","","2015","","","68","77","In industry, inspections, reviews, and refactoring are considered as necessary software engineering activities for enhancing quality of code. In academia, such activities are rarely taught and practiced at Undergraduate level due to various reasons like limited skill set, limited knowledge of the available tools, time constraints, project setting, project client availability, flexibility with Syllabus, etc. However, we argue that such activities are an essential part of introductory software engineering courses and can result in improvement of coding skills, knowledge of coding standard and compliance to the same, and peer communication within teams. We have studied the use of such activities in a sophomore level Software Engineering course consisting of more than 200 students working in teams on projects from start-ups and present our experiences, findings and challenges. We present the results of quantitative evaluation of the impact of code comprehension activities before and after each iteration of the team projects.","1530-0803","978-1-4673-9390","10.1109/ASWEC.2015.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365795","Code Inspection;Code Reviews;Program Comprehension;Refactoring;Static Code Analysis;Textual Analysis","Measurement;Inspection;Software engineering;Software;Standards;Encoding;Writing","computer science education;educational courses;further education;software engineering","undergraduate software engineering course;code comprehension activities;introductory software engineering courses","","","23","","","","","","IEEE","IEEE Conferences"
"Introducing Circa: A dataflow-based language for live coding","A. Fischer","Shutterfly, USA","2013 1st International Workshop on Live Programming (LIVE)","","2013","","","5","8","In a live programming environment, the state of the running program is available during the editing process. An ideal live programming system should be able to harness the live program to offer improved abilities for code creation and manipulation. We introduce Circa, a language and platform designed to address this need. We argue in favor of a dataflow-based model of computation, and we show how this format enables useful methods of code inspection and manipulation. We present a framework based on the backpropogation algorithm that allows the user to manipulate their program by expressing a desire against the program's result. We discuss how these code editing abilities can combine to produce a highly effective environment.","","978-1-4673-6265","10.1109/LIVE.2013.6617339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6617339","Live coding;dataflow programming","Runtime;Programming;Computational modeling;Visualization;Sprites (computer);Encoding;Mice","data flow analysis;encoding;inspection;parallel languages","Circa;dataflow-based language;live coding;live programming environment;running program;editing process;code inspection;code manipulation","","1","6","","","","","","IEEE","IEEE Conferences"
"A low noise 65nm 1.2V 7-bit 1GSPS CMOS folding A/D converter with a digital self-calibration technique","D. Choi; D. Kim; K. Cho; D. Kim; M. Song","Dongguk Univ-Seoul, Dept. of Semiconductor Science, Seoul 100715, South Korea; Dongguk Univ-Seoul, Dept. of Semiconductor Science, Seoul 100715, South Korea; Dongguk Univ-Seoul, Dept. of Semiconductor Science, Seoul 100715, South Korea; Dongguk Univ-Seoul, Dept. of Semiconductor Science, Seoul 100715, South Korea; Dongguk Univ-Seoul, Dept. of Semiconductor Science, Seoul 100715, South Korea","2010 International SoC Design Conference","","2010","","","194","197","In this paper, a 65nm 1.2V 7-bit 1GSPS A/D converter with a self-calibration technique is proposed. The A/D converter is based on a folding-interpolation structure whose folding rate is 2, interpolation rate is 8. An offset self-calibration circuit with a feedback loop and a recursive digital code inspection is described. The offset self-calibration circuit reduces the variation of the offset voltage, due to process mismatches, parasitic resistors, and parasitic capacitances. The chip has been fabricated with a 65nm 1-poly 6-metal CMOS technology. The effective chip area is 0.87mm<sup>2</sup> and the power consumption is about 110mW at 1.2V power supply. The measured SNDR is about 38.48dB when the input frequency is 250MHz at 1GHz sampling frequency. The measured SNDR is 3dB higher than the same ADC without any calibration.","","978-1-4244-8632-8978-1-4244-8633-5978-1-4244-8631","10.1109/SOCDC.2010.5682940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5682940","A/D Converter;Folding;Interpolation;Self-Calibration","","analogue-digital conversion;CMOS integrated circuits;interpolation;resistors","1GSPS CMOS;A/D converter;digital self-calibration technique;folding-interpolation structure;offset self-calibration circuit;feedback loop;recursive digital code inspection;process mismatches;parasitic resistor;parasitic capacitance;SNDR;size 65 nm;voltage 1.2 V;power 110 mW;word length 7 bit;frequency 250 MHz;frequency 1 GHz","","","5","","","","","","IEEE","IEEE Conferences"
"A digitally self-calibrated low-noise 7-bit folding A/D converter","M. Kwon; D. Kim; D. Kim; J. Moon; M. Song","Dept. of Semiconductor Science, Dongguk university, Seoul, 100-715, Korea; Dept. of Semiconductor Science, Dongguk university, Seoul, 100-715, Korea; Dept. of Semiconductor Science, Dongguk university, Seoul, 100-715, Korea; Dept. of Semiconductor Science, Dongguk university, Seoul, 100-715, Korea; Dept. of Semiconductor Science, Dongguk university, Seoul, 100-715, Korea","23rd IEEE International SOC Conference","","2010","","","39","43","In this paper, a low noise 65nm 1.2V 7-bit 1GSPS A/D converter with a digitally self-calibrated technique is proposed. The A/D converter is based on a folding-interpolation structure whose folding rate is 2 and its interpolation rate is 8. A digitally self-calibrated technique with a feedback loop and a recursive digital code inspection is described. The circuit reduces the variation of the offset voltage, due to process mismatches, parasitic resistors, and parasitic capacitances. The chip has been fabricated with a 65nm 1-poly 6-metal CMOS technology. The effective chip area is 0.87mm2 and the power consumption is about 110mW with a 1.2V power supply. The measured SNDR is drastically improved in comparison with the same ADC without any calibration.","2164-1706;2164-1676","978-1-4244-6683-2978-1-4244-6682-5978-1-4244-6681","10.1109/SOCC.2010.5784637","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5784637","","Calibration;Preamplifiers;Interpolation;Clocks;Distortion measurement;Measurement uncertainty;Metals","analogue-digital conversion;calibration;capacitance;feedback;interpolation;low-power electronics;power supply circuits;recursive estimation;resistors","digitally self-calibrated low-noise folding A/D converter;1GSPS A/D converter;digitally self-calibrated technique;folding-interpolation structure;folding rate;interpolation rate;feedback loop;recursive digital code inspection;offset voltage;process mismatches;parasitic resistors;parasitic capacitances;1-poly 6-metal CMOS technology;power consumption;power supply;SNDR;ADC;word length 7 bit;voltage 1.2 V","","","7","","","","","","IEEE","IEEE Conferences"
"Integrated Formal Methods for Constructing Assurance Cases","C. Cârlan; T. A. Beyene; H. Ruess","NA; NA; NA","2016 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","","2016","","","221","228","The use of formal methods in verification activities is well established in various dedicated safety standards. Deficits in the verification process may have a negative impact on the confidence of verification results. Safety standards promote the use of integrated formal methods when a single method cannot achieve the verification objective without specifying how. In this paper, we take on the problem of using outputs from integrated formal methods as evidence in assurance cases, which are used in certification of safety-critical systems. We first present two workflows that employ integrated formal methods - code review workflow and code coverage workflow - corresponding to two of the most important activities of the verification phase. Then, we show how each workflow and the outputs from its integrated formal methods can be used in creating an assurance argument. These assurance arguments offer evidence for undeveloped goals identified in previous works from the field.","","978-1-5090-3601-1978-1-5090-3602","10.1109/ISSREW.2016.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789404","assurance cases;integrated formal methods;confidence;testing;code coverage;assurance deficits;code review","Safety;Standards;Testing;Software;Encoding;Uncertainty;Employment","certification;formal verification;safety-critical software;software reviews","assurance case construction;integrated formal methods;certification;safety-critical systems;code review workflow;code coverage workflow;verification phase;assurance argument","","1","","","","","","","IEEE","IEEE Conferences"
